,C1,C2,C3,C4,Inactive,expected_months_to_churn
C1,4.012076231634169,2.2886519547234854,2.5345899941829892,0.8753689813862129,6.344852368688987,16.055539530615842
C2,1.4275505622278828,3.8870884459982156,1.3786315937382083,0.5304714124825981,6.344852368688986,13.568594383135892
C3,1.3663537082784412,1.1833587262970746,4.148436820572902,0.5330692550461211,6.344852368688986,13.576070878883526
C4,1.1593224463818848,1.113303327427983,1.297942867992458,3.6615945149830806,6.3448523686889855,13.57701552547439
Inactive,0.48576498618715735,0.7021988792959756,0.8016542149513561,0.31788393763658135,6.3448523686889855,8.652354386760056
