,C1,C2,C3,C4,Inactive
C1,0.6283103319656844,0.1768929503916449,0.11870570682581126,0.05203282357329355,0.024058187243565832
C2,0.07167678265301394,0.677662975489969,0.007969235046101098,0.004262614094426169,0.23842839271648983
C3,0.0661756176777636,0.009047674283725786,0.6608282101844334,0.007249739009395662,0.2566987588446816
C4,0.043892605149821316,0.0107211582516265,0.010812792082836984,0.7141024466232934,0.2204709978924219
Inactive,0.0017464577113271917,0.015954336520328224,0.011663704271657431,0.006486289726104315,0.9641492117705829
