,C1,C2,C3,C4,Inactive
2023-01,0.1309163096855083,0.17333611952774006,0.22212934907533174,0.10260160902726988,0.37101661268415004
2023-02,0.11204725934534185,0.13838853379817936,0.23397249661049777,0.07863645167538252,0.43695525857059847
2023-03,0.08433053801941015,0.12710826345048526,0.22029586356355413,0.07283520211061906,0.4954301328559314
2023-04,0.11170307227845853,0.11374533830580714,0.1928609483217901,0.059403303143313796,0.5222873379506304
2023-05,0.11793388429752066,0.12413223140495867,0.19272727272727272,0.06115702479338843,0.5040495867768595
2023-06,0.10299984043401947,0.1176799106430509,0.1807084729535663,0.06326791128131483,0.5353438646880485
2023-07,0.1273447425454002,0.12712054405500336,0.20484268739257155,0.06740901277931395,0.47328301322771094
2023-08,0.1233438940092166,0.1278081797235023,0.2064372119815668,0.06696428571428571,0.47544642857142855
2023-09,0.10004257130693912,0.11174968071519796,0.17929615439193983,0.061231729814105296,0.5476798637718178
2023-10,0.07057256990679095,0.11661644123624641,0.16252014857383137,0.05739715467096503,0.5928936856121663
2023-11,0.0474439897343414,0.08753554831102171,0.12076021363667892,0.04494693764306028,0.6993133106748977
2023-12,0.028444444444444446,0.06618803418803419,0.08225641025641026,0.04041025641025641,0.7827008547008547
2024-01,0.02699419624780672,0.07274935888783911,0.0718720475097854,0.03441760021595357,0.7939667971386152
2024-02,0.03875091550702443,0.07064385112191224,0.06618283507557095,0.03535521672548106,0.7890671815700113
2024-03,0.021999075113959172,0.07927594635660963,0.06480808614652837,0.034220783510603155,0.7996961088722997
2024-04,0.05727237900651258,0.09973183501468523,0.08198186693908824,0.04533265227940238,0.7156812667603116
2024-05,0.04627703171300675,0.10182207931404073,0.09047348843074207,0.04627703171300675,0.7151503688292037
2024-06,0.058090251807529296,0.09841685365245574,0.09424083769633508,0.04238344552480678,0.7068686113188731
2024-07,0.07422781101208643,0.11360029300451716,0.11085337565620804,0.048467830545720916,0.6528506897814674
2024-08,0.04838026036936119,0.09088707235846201,0.08840448077505299,0.03899485316379049,0.7333333333333333
2024-09,0.042806681434472846,0.08938514039394121,0.0881278812189427,0.04041190205352332,0.7392683948991199
2024-10,0.03333333333333333,0.08446026097271649,0.07686832740213523,0.044602609727164885,0.76073546856465
2024-11,0.02290707285393789,0.057858070610461686,0.05000590388475617,0.03867044515291061,0.8305585074979337
2024-12,0.028450505525511403,0.04843639783682107,0.04555607806254409,0.03285915824124148,0.844697860333882
2025-01,0.0245402366170786,0.04650345554644489,0.0419351060091367,0.028054351645777204,0.8589668501815626
2025-02,0.018997668997669,0.03921911421911422,0.037587412587412584,0.023484848484848483,0.8807109557109557
2025-03,0.016636716712074662,0.04556257608254594,0.04144687264506405,0.02191177323053736,0.874442061329778
2025-04,0.020976200080677694,0.049443900190168845,0.04339307324381951,0.01970840776810926,0.8664784187172246
2025-05,0.025806084083399794,0.05725190839694656,0.05258060840833998,0.025578215791272646,0.838783183320041
2025-06,0.04076590487955528,0.08057723622887304,0.05699365489359313,0.03296086248526026,0.7887023415127183
2025-07,0.04383378761751126,0.09011514713244702,0.05985425821883518,0.04099682928186015,0.7651999777493463
2025-08,0.039738402704650004,0.08596131463725544,0.05542315579449094,0.04239871418278557,0.7764784126808181
2025-09,0.04600670587588633,0.08651679217281372,0.0617270378717089,0.041609410212719175,0.7641400538668719
2025-10,0.035624795729382285,0.07212114609434579,0.061716962632095,0.04101754003704107,0.7895195555071358
2025-11,0.046782674689651436,0.059142407979617284,0.05420935653493793,0.032308776494823006,0.8075567843009703
2025-12,0.05114951811769773,0.07160932536477682,0.05577989554729985,0.036935336240779625,0.7845259247294459
2026-01,0.028246770649086133,0.07573564881813796,0.04770327491022137,0.036233049257651286,0.8120812563649032
2026-02,0.0354379036131718,0.0751454341676896,0.04413726850616427,0.0354379036131718,0.8098414900998026
2026-03,0.031783276450511946,0.06985921501706485,0.045541808873720134,0.035516211604095564,0.8172994880546075
