metric,full,mature
homogeneity_G2_per_df,26.115033207834564,16.899336312887147
SLEM,0.7836210643439553,0.7851020781589002
spectral_gap,0.2163789356560447,0.2148979218410998
mixing_months,18.886829470100817,19.034227459800277
pi_C1,0.033665127009237586,0.025413347143864232
pi_C2,0.06538734152413941,0.058029143124761394
pi_C3,0.06062239258364489,0.040325604930908955
pi_C4,0.027396445212733034,0.025806925870382576
pi_Inactive,0.8129286936702451,0.8504249789300828
