,C1,C2,C3,C4,Inactive,Churned
C1,0.6266463218760039,0.15636042402826855,0.1601349180854481,0.04200128493414713,0.014857051076132348,0.0
C2,0.09215421591545123,0.6371448325815692,0.013828070984097718,0.006815263556448161,0.2500576169624337,0.0
C3,0.08165829145728644,0.010280996820838889,0.6559840016408574,0.007870987591016307,0.24420572249000103,0.0
C4,0.05175808720112517,0.01158931082981716,0.01710267229254571,0.690464135021097,0.2290857946554149,0.0
Inactive,0.0054747970549367565,0.026307343779497828,0.028818198980555033,0.010543703983386823,0.7712478761563148,0.15760808004530866
Churned,0.0,0.0,0.0,0.0,0.0,1.0
