,C1,C2,C3,C4,Inactive,expected_months_to_churn
C1,4.1858305762831005,2.1444453130922687,1.8708641193293645,1.1784915307159334,5.707564160288162,15.087195699708829
C2,1.5487489975963786,3.6866116412436116,1.040210240623213,0.6892417801673463,5.707564160288161,12.67237681991871
C3,1.4382698476009643,1.0923875507872494,3.5320627655467023,0.7071792318707262,5.707564160288161,12.477463556093802
C4,1.25980023401044,1.0542300570549599,0.9642611827655553,3.9685526084317897,5.707564160288162,12.954408242550908
Inactive,0.47006402668312725,0.6190539982692292,0.5519620629505202,0.39110196967585437,5.707564160288161,7.739746217866892
