,C1,C2,C3,C4,Inactive,Churned
C1,0.6427221172022685,0.15044108380592314,0.12586641461877757,0.054977945809703846,0.02599243856332703,0.0
C2,0.10538373424971363,0.618270332187858,0.014891179839633447,0.007302405498281787,0.25415234822451316,0.0
C3,0.09347491965907503,0.010479251082855945,0.6196730473662149,0.012155931256112897,0.26421685063574124,0.0
C4,0.05527823997041967,0.012017008689221667,0.014235533370308745,0.7060454797559623,0.21242373821408764,0.0
Inactive,0.0051670413757740705,0.027176271052735377,0.02382361061807281,0.013647300122273498,0.7549796868220724,0.1752060900090719
Churned,0.0,0.0,0.0,0.0,0.0,1.0
