,C1,C2,C3,C4,Inactive
C1,0.621594447327452,0.16820186818889465,0.15224442138038402,0.04258562532433835,0.015373637778930981
C2,0.07801894238358327,0.6704222573007104,0.010102604577742699,0.005288082083662194,0.2361681136543015
C3,0.07132175942811292,0.009191042380917645,0.6742468451382304,0.006546794076883799,0.23869355897585529
C4,0.04542964470183127,0.01072155266864924,0.014047581781186414,0.704922523086555,0.22487869776177805
Inactive,0.0025455040582673494,0.018497021783329834,0.016701552919021586,0.007267264079314491,0.9549886571600668
