month,placebo_att
2022-01,0.00043603121197694633
2022-02,0.0004918400786189207
2022-03,0.0005930724334615445
2022-04,0.041323238973008554
2022-05,0.0005908090315224213
2022-06,0.004623240109022101
2022-07,0.02674007056629008
2022-08,0.0005140415478464694
2022-09,0.00030164064385254305
2022-10,0.02228962185817726
2022-11,0.0007790978511142618
2022-12,0.0005821419390117516
2023-01,0.0012667015433061313
2023-02,0.011044404564927241
2023-03,0.0022996109264594305
2023-04,0.001835968401694331
2023-05,0.0008639824365734607
2023-06,0.04007647359065069
2023-07,0.0005042075520593006
2023-08,0.03160059523809523
2023-09,0.009132044054192226
2023-10,0.036589466546614643
2023-11,0.02801081627121985
2023-12,0.024692078997664055
2024-02,0.0010618143262290033
2024-03,0.0020614397103129317
2024-04,0.002154914097723698
2024-05,0.016085315356259157
2024-06,0.000922889381692861
2024-07,0.002584417753768241
2024-08,0.010374902531765276
2024-09,0.016541915714075053
2024-10,0.047097901322368414
2024-11,0.0018630604070814932
2024-12,0.012204380321766455
2025-01,0.011234153303668875
2025-02,0.11946024815105596
2025-03,0.0030149492739298123
2025-04,0.0021338307291545663
2025-05,0.0010075302083941418
2025-06,0.0007541437394880945
2025-07,0.003781345395131086
2025-08,0.007974845725314025
2025-09,0.001272440881366424
2025-11,0.0009961047964451158
2025-12,0.0006945078119455356
2026-01,0.000870177016286458
2026-02,0.03943369377168705
2026-03,0.0011908954630833607
