k,silhouette_score,inertia,smallest_cluster_share,largest_cluster_share,min_cluster_size,max_cluster_size,meets_interpretability_size,is_interpretable_candidate,best_k_by_silhouette,recommended_k_for_interpretability,selected_final_k
2,0.6144804067901045,131170.9501655719,0.0729866405011699,0.9270133594988301,967,12282,True,False,True,True,False
3,0.5892644615946329,112962.69463681258,0.04158804438070798,0.9030870254358819,551,11965,False,False,False,False,True
4,0.35598585341831185,97082.51961150735,0.04007849649030115,0.4807155257000528,531,6369,False,False,False,False,False
5,0.395122873838028,83451.00988999584,0.010264925654766397,0.45799682994943014,136,6068,False,False,False,False,False
6,0.4735570297397439,72120.57121550779,0.010113970865725715,0.45799682994943014,134,6068,False,False,False,False,False
7,0.4970296777114735,61814.66065061551,0.007019397690391727,0.4579213525549098,93,6067,False,False,False,False,False
8,0.49897189593690566,56642.63165457652,0.0012831157068457996,0.4579213525549098,17,6067,False,False,False,False,False
9,0.5028039914074182,51774.27370949495,0.0008302513397237528,0.4579213525549098,11,6067,False,False,False,False,False
10,0.4987069407559184,48219.52262008481,0.0008302513397237528,0.3336100837799079,11,4420,False,False,False,False,False
